analysis_number,gravel,gravel_renorm,sand,silt,clay,original_total,QA_flag,sand_shep,silt_shep,clay_shep,shepard_class
GS-006966,3.8155,3.815812896657526,2.802,77.2821,16.0922,99.9918,A,2.9133996629107166,80.35461958923352,16.731980747855758,silt
GS-006967,0.0,0.0,8.708,74.2795,17.0145,100.002,A,8.70782584348313,74.2780144397112,17.014159716805665,clayey silt
GS-006968,2.3259,2.3262093858483177,35.1928,52.5367,9.9313,99.9867,A,36.03574822241882,53.795074379894494,10.169177397686687,sandy silt
GS-006969,0.0,0.0,63.194,29.6275,7.183,100.00450000000001,A,63.19115639796209,29.626166822492987,7.182676779544919,silty sand
GS-006970,2.1515,2.1518787306565956,15.9733,63.489,18.3686,99.9824,A,16.32745891124379,64.89667375031816,18.775867338438065,clayey silt
GS-006971,1.4829,1.4836685403038776,81.7767,13.8804,2.8082,99.9482,A,83.05128811875859,14.096742710376143,2.8519691708652695,sand
GS-006972,42.9368,42.934953796986726,33.0671,16.0054,7.995,100.0043,A,57.94383843693871,28.04643623778858,14.0097253252727,silty sand
