analysis_number,sand,silt,clay,original_total,QA_flag,sand_shep,silt_shep,clay_shep,shepard_class
GS-007212,6.467,83.75,9.786,100.003,A,6.466805995820125,83.74748757537274,9.785706428807135,silt
GS-007213,23.1815,60.759,14.062,98.0025,N,23.65398841866279,61.99739802556057,14.34861355577664,sandy silt
GS-007214,26.2735,59.6305,14.098,100.002,A,26.27297454050919,59.62930741385173,14.09771804563909,sandy silt
GS-007215,35.451,55.1175,9.435,100.0035,A,35.449759258425956,55.11557095501657,9.434669786557471,sandy silt
GS-007216,35.7945,51.7,12.5075,100.00200000000001,A,35.79378412431751,51.698966020679585,12.507249855002899,sandy silt
GS-007217,41.06,50.7605,8.182,100.00250000000001,A,41.058973525661855,50.759231019224515,8.181795455113622,sandy silt
GS-007218,50.145,42.7665,7.09,100.00150000000001,A,50.14424783628246,42.765858512122314,7.089893651595226,silty sand
GS-007219,12.3,58.07,29.633,100.003,A,12.29963101106967,58.068257952261426,29.632111036668892,clayey silt
